통계년월,통계시도명,통계시군구명,성별,수급자구분,연령구간,수급자수
202008,서울특별시,종로구,여성,조건부수급자,19~29세,36
202008,서울특별시,종로구,여성,조건부수급자,30~39세,14
202008,서울특별시,종로구,여성,조건부수급자,40~49세,46
202008,서울특별시,종로구,여성,조건부수급자,50~59세,40
202008,서울특별시,종로구,남성,일반수급자,19~29세,69
202008,서울특별시,종로구,여성,조건부수급자,60~64세,26
202008,서울특별시,종로구,여성,조건부수급자,65~69세,2
202008,서울특별시,종로구,여성,조건부수급자,70~74세,1
202008,서울특별시,종로구,여성,조건부수급자,80~89세,4
202008,서울특별시,종로구,남성,시설수급자,7세미만,3
202008,서울특별시,종로구,남성,시설수급자,7~12세,2
202008,서울특별시,종로구,남성,시설수급자,19~29세,8
202008,서울특별시,종로구,남성,시설수급자,30~39세,54
202008,서울특별시,종로구,남성,시설수급자,40~49세,85
202008,서울특별시,종로구,남성,시설수급자,50~59세,41
202008,서울특별시,종로구,남성,일반수급자,30~39세,65
202008,서울특별시,종로구,남성,시설수급자,60~64세,16
202008,서울특별시,종로구,남성,시설수급자,65~69세,15
202008,서울특별시,종로구,남성,시설수급자,70~74세,9
202008,서울특별시,종로구,남성,일반수급자,40~49세,157
202008,서울특별시,종로구,남성,시설수급자,75~79세,2
202008,서울특별시,종로구,여성,시설수급자,7세미만,28
202008,서울특별시,종로구,여성,시설수급자,7~12세,19
202008,서울특별시,종로구,여성,시설수급자,13~15세,2
202008,서울특별시,종로구,여성,시설수급자,16~18세,5
202008,서울특별시,종로구,여성,시설수급자,19~29세,19
202008,서울특별시,종로구,여성,시설수급자,30~39세,43
202008,서울특별시,종로구,여성,시설수급자,40~49세,64
202008,서울특별시,종로구,여성,시설수급자,50~59세,66
202008,서울특별시,종로구,여성,시설수급자,60~64세,35
202008,서울특별시,종로구,남성,일반수급자,50~59세,479
202008,서울특별시,종로구,여성,시설수급자,65~69세,26
202008,서울특별시,종로구,여성,시설수급자,70~74세,19
202008,서울특별시,종로구,여성,시설수급자,75~79세,12
202008,서울특별시,종로구,여성,시설수급자,80~89세,42
202008,서울특별시,종로구,여성,시설수급자,90세이상,26
202008,서울특별시,종로구,남성,특례수급자,7~12세,1
202008,서울특별시,종로구,남성,특례수급자,16~18세,1
202008,서울특별시,종로구,남성,특례수급자,19~29세,1
202008,서울특별시,종로구,남성,특례수급자,30~39세,11
202008,서울특별시,종로구,남성,특례수급자,40~49세,13
202008,서울특별시,종로구,남성,특례수급자,50~59세,42
202008,서울특별시,종로구,남성,특례수급자,60~64세,25
202008,서울특별시,종로구,남성,특례수급자,65~69세,9
202008,서울특별시,종로구,남성,일반수급자,60~64세,309
202008,서울특별시,종로구,남성,특례수급자,70~74세,11
202008,서울특별시,종로구,남성,특례수급자,75~79세,8
202008,서울특별시,종로구,남성,특례수급자,80~89세,4
202008,서울특별시,종로구,남성,특례수급자,90세이상,1
202008,서울특별시,종로구,여성,특례수급자,16~18세,3
202008,서울특별시,종로구,여성,특례수급자,19~29세,1
202008,서울특별시,종로구,여성,특례수급자,30~39세,5
202008,서울특별시,종로구,여성,특례수급자,40~49세,8
202008,서울특별시,종로구,여성,특례수급자,50~59세,5
202008,서울특별시,종로구,여성,특례수급자,60~64세,2
202008,서울특별시,종로구,여성,특례수급자,65~69세,9
202008,서울특별시,종로구,여성,특례수급자,70~74세,14
202008,서울특별시,종로구,여성,특례수급자,75~79세,18
202008,서울특별시,종로구,여성,특례수급자,80~89세,17
202008,서울특별시,종로구,여성,특례수급자,90세이상,3
202008,서울특별시,종로구,남성,기타수급자,60~64세,1
202008,서울특별시,종로구,여성,기타수급자,19~29세,1
202008,서울특별시,종로구,남성,일반수급자,65~69세,364
202008,서울특별시,종로구,남성,일반수급자,70~74세,238
202008,서울특별시,종로구,남성,일반수급자,75~79세,215
202008,서울특별시,종로구,남성,일반수급자,7~12세,69
202008,서울특별시,종로구,남성,일반수급자,80~89세,129
202008,서울특별시,종로구,남성,일반수급자,90세이상,10
202008,서울특별시,종로구,여성,일반수급자,7세미만,18
202008,서울특별시,종로구,여성,일반수급자,7~12세,54
202008,서울특별시,종로구,여성,일반수급자,13~15세,48
202008,서울특별시,종로구,여성,일반수급자,16~18세,66
202008,서울특별시,종로구,여성,일반수급자,19~29세,64
202008,서울특별시,종로구,남성,일반수급자,7세미만,7
202008,서울특별시,종로구,여성,일반수급자,30~39세,63
202008,서울특별시,종로구,여성,일반수급자,40~49세,133
202008,서울특별시,종로구,여성,일반수급자,50~59세,188
202008,서울특별시,종로구,남성,일반수급자,13~15세,50
202008,서울특별시,종로구,여성,일반수급자,60~64세,121
202008,서울특별시,종로구,여성,일반수급자,65~69세,165
202008,서울특별시,종로구,여성,일반수급자,70~74세,156
202008,서울특별시,종로구,여성,일반수급자,75~79세,205
202008,서울특별시,종로구,여성,일반수급자,80~89세,248
202008,서울특별시,종로구,여성,일반수급자,90세이상,46
202008,서울특별시,종로구,남성,조건부수급자,7세미만,7
202008,서울특별시,종로구,남성,조건부수급자,7~12세,5
202008,서울특별시,종로구,남성,조건부수급자,13~15세,8
202008,서울특별시,종로구,남성,일반수급자,16~18세,59
202008,서울특별시,종로구,남성,조건부수급자,16~18세,9
202008,서울특별시,종로구,남성,조건부수급자,19~29세,37
202008,서울특별시,종로구,남성,조건부수급자,30~39세,9
202008,서울특별시,종로구,남성,조건부수급자,40~49세,44
202008,서울특별시,종로구,남성,조건부수급자,50~59세,130
202008,서울특별시,종로구,남성,조건부수급자,60~64세,73
202008,서울특별시,종로구,남성,조건부수급자,65~69세,5
202008,서울특별시,종로구,남성,조건부수급자,70~74세,1
202008,서울특별시,종로구,남성,조건부수급자,75~79세,2
202008,서울특별시,종로구,남성,조건부수급자,80~89세,1
202008,서울특별시,종로구,여성,조건부수급자,7세미만,8
202008,서울특별시,종로구,여성,조건부수급자,7~12세,10
202008,서울특별시,종로구,여성,조건부수급자,13~15세,4
202008,서울특별시,종로구,여성,조건부수급자,16~18세,9
202008,서울특별시,중구,여성,조건부수급자,19~29세,38
202008,서울특별시,중구,여성,조건부수급자,30~39세,7
202008,서울특별시,중구,여성,조건부수급자,40~49세,24
202008,서울특별시,중구,여성,조건부수급자,50~59세,41
202008,서울특별시,중구,여성,조건부수급자,60~64세,21
202008,서울특별시,중구,여성,조건부수급자,65~69세,4
202008,서울특별시,중구,여성,조건부수급자,70~74세,1
202008,서울특별시,중구,여성,조건부수급자,75~79세,1
202008,서울특별시,중구,여성,조건부수급자,80~89세,4
202008,서울특별시,중구,여성,조건부수급자,90세이상,2
202008,서울특별시,중구,남성,시설수급자,7세미만,21
202008,서울특별시,중구,남성,일반수급자,30~39세,74
202008,서울특별시,중구,남성,시설수급자,7~12세,22
202008,서울특별시,중구,남성,시설수급자,13~15세,1
202008,서울특별시,중구,남성,시설수급자,16~18세,6
202008,서울특별시,중구,남성,시설수급자,19~29세,1
202008,서울특별시,중구,남성,시설수급자,60~64세,2
202008,서울특별시,중구,남성,시설수급자,65~69세,1
202008,서울특별시,중구,남성,시설수급자,80~89세,1
202008,서울특별시,중구,여성,시설수급자,7세미만,27
202008,서울특별시,중구,여성,시설수급자,7~12세,13
202008,서울특별시,중구,여성,시설수급자,13~15세,3
202008,서울특별시,중구,여성,시설수급자,16~18세,4
202008,서울특별시,중구,여성,시설수급자,19~29세,1
202008,서울특별시,중구,남성,일반수급자,40~49세,186
202008,서울특별시,중구,여성,시설수급자,60~64세,1
202008,서울특별시,중구,여성,시설수급자,65~69세,1
202008,서울특별시,중구,여성,시설수급자,75~79세,1
202008,서울특별시,중구,여성,시설수급자,80~89세,6
202008,서울특별시,중구,여성,시설수급자,90세이상,2
202008,서울특별시,중구,남성,특례수급자,7~12세,1
202008,서울특별시,중구,남성,일반수급자,7세미만,30
202008,서울특별시,중구,남성,특례수급자,16~18세,1
202008,서울특별시,중구,남성,특례수급자,19~29세,2
202008,서울특별시,중구,남성,일반수급자,50~59세,488
202008,서울특별시,중구,남성,특례수급자,30~39세,1
202008,서울특별시,중구,남성,특례수급자,40~49세,4
202008,서울특별시,중구,남성,특례수급자,50~59세,13
202008,서울특별시,중구,남성,특례수급자,60~64세,13
202008,서울특별시,중구,남성,특례수급자,65~69세,4
202008,서울특별시,중구,남성,특례수급자,70~74세,2
202008,서울특별시,중구,남성,특례수급자,75~79세,5
202008,서울특별시,중구,남성,특례수급자,80~89세,4
202008,서울특별시,중구,남성,특례수급자,90세이상,1
202008,서울특별시,중구,여성,특례수급자,19~29세,1
202008,서울특별시,중구,남성,일반수급자,60~64세,314
202008,서울특별시,중구,여성,특례수급자,40~49세,1
202008,서울특별시,중구,여성,특례수급자,50~59세,6
202008,서울특별시,중구,여성,특례수급자,60~64세,7
202008,서울특별시,중구,남성,일반수급자,65~69세,390
202008,서울특별시,중구,여성,특례수급자,65~69세,3
202008,서울특별시,중구,여성,특례수급자,70~74세,12
202008,서울특별시,중구,여성,특례수급자,75~79세,9
202008,서울특별시,중구,여성,특례수급자,80~89세,13
202008,서울특별시,중구,여성,특례수급자,90세이상,2
202008,서울특별시,중구,남성,일반수급자,70~74세,271
202008,서울특별시,중구,남성,일반수급자,75~79세,201
202008,서울특별시,중구,남성,일반수급자,80~89세,155
202008,서울특별시,중구,남성,일반수급자,90세이상,12
202008,서울특별시,중구,여성,일반수급자,7세미만,23
202008,서울특별시,중구,여성,일반수급자,7~12세,75
202008,서울특별시,중구,여성,일반수급자,13~15세,56
202008,서울특별시,중구,남성,일반수급자,7~12세,77
202008,서울특별시,중구,여성,일반수급자,16~18세,77
202008,서울특별시,중구,여성,일반수급자,19~29세,79
202008,서울특별시,중구,여성,일반수급자,30~39세,72
202008,서울특별시,중구,여성,일반수급자,40~49세,151
202008,서울특별시,중구,여성,일반수급자,50~59세,230
202008,서울특별시,중구,여성,일반수급자,60~64세,150
202008,서울특별시,중구,여성,일반수급자,65~69세,233
202008,서울특별시,중구,여성,일반수급자,70~74세,238
202008,서울특별시,중구,여성,일반수급자,75~79세,276
202008,서울특별시,중구,여성,일반수급자,80~89세,351
202008,서울특별시,중구,여성,일반수급자,90세이상,70
202008,서울특별시,중구,남성,일반수급자,13~15세,58
202008,서울특별시,중구,남성,조건부수급자,7세미만,5
202008,서울특별시,중구,남성,조건부수급자,7~12세,5
202008,서울특별시,중구,남성,조건부수급자,13~15세,6
202008,서울특별시,중구,남성,조건부수급자,16~18세,7
202008,서울특별시,중구,남성,조건부수급자,19~29세,26
202008,서울특별시,중구,남성,조건부수급자,30~39세,11
202008,서울특별시,중구,남성,조건부수급자,40~49세,42
202008,서울특별시,중구,남성,조건부수급자,50~59세,100
202008,서울특별시,중구,남성,조건부수급자,60~64세,66
202008,서울특별시,중구,남성,일반수급자,16~18세,70
202008,서울특별시,중구,남성,조건부수급자,65~69세,6
202008,서울특별시,중구,남성,조건부수급자,80~89세,1
202008,서울특별시,중구,여성,조건부수급자,7세미만,4
202008,서울특별시,중구,여성,조건부수급자,7~12세,5
202008,서울특별시,중구,남성,일반수급자,19~29세,79
202008,서울특별시,중구,여성,조건부수급자,13~15세,3
202008,서울특별시,중구,여성,조건부수급자,16~18세,8
202008,서울특별시,용산구,여성,조건부수급자,19~29세,63
202008,서울특별시,용산구,여성,조건부수급자,30~39세,18
202008,서울특별시,용산구,여성,조건부수급자,40~49세,75
202008,서울특별시,용산구,여성,조건부수급자,50~59세,114
202008,서울특별시,용산구,여성,조건부수급자,60~64세,51
202008,서울특별시,용산구,여성,조건부수급자,65~69세,7
202008,서울특별시,용산구,남성,일반수급자,19~29세,133
202008,서울특별시,용산구,여성,조건부수급자,70~74세,8
202008,서울특별시,용산구,여성,조건부수급자,75~79세,8
202008,서울특별시,용산구,여성,조건부수급자,80~89세,8
202008,서울특별시,용산구,여성,조건부수급자,90세이상,2
202008,서울특별시,용산구,남성,시설수급자,7세미만,39
202008,서울특별시,용산구,남성,시설수급자,7~12세,33
202008,서울특별시,용산구,남성,시설수급자,13~15세,8
202008,서울특별시,용산구,남성,시설수급자,16~18세,10
202008,서울특별시,용산구,남성,시설수급자,19~29세,6
202008,서울특별시,용산구,남성,일반수급자,30~39세,129
202008,서울특별시,용산구,남성,시설수급자,30~39세,3
202008,서울특별시,용산구,남성,시설수급자,75~79세,1
202008,서울특별시,용산구,남성,일반수급자,40~49세,309
202008,서울특별시,용산구,남성,시설수급자,80~89세,1
202008,서울특별시,용산구,여성,시설수급자,7세미만,28
202008,서울특별시,용산구,여성,시설수급자,7~12세,26
202008,서울특별시,용산구,여성,시설수급자,13~15세,10
202008,서울특별시,용산구,여성,시설수급자,16~18세,11
202008,서울특별시,용산구,여성,시설수급자,19~29세,15
202008,서울특별시,용산구,여성,시설수급자,30~39세,30
202008,서울특별시,용산구,여성,시설수급자,40~49세,10
202008,서울특별시,용산구,여성,시설수급자,50~59세,2
202008,서울특별시,용산구,여성,시설수급자,60~64세,1
202008,서울특별시,용산구,남성,일반수급자,50~59세,688
202008,서울특별시,용산구,여성,시설수급자,65~69세,1
202008,서울특별시,용산구,여성,시설수급자,75~79세,1
202008,서울특별시,용산구,여성,시설수급자,80~89세,9
202008,서울특별시,용산구,여성,시설수급자,90세이상,6
202008,서울특별시,용산구,남성,특례수급자,7세미만,1
202008,서울특별시,용산구,남성,특례수급자,13~15세,1
202008,서울특별시,용산구,남성,특례수급자,16~18세,5
202008,서울특별시,용산구,남성,특례수급자,19~29세,7
202008,서울특별시,용산구,남성,특례수급자,30~39세,5
202008,서울특별시,용산구,남성,특례수급자,40~49세,24
202008,서울특별시,용산구,남성,특례수급자,50~59세,40
202008,서울특별시,용산구,남성,일반수급자,60~64세,410
202008,서울특별시,용산구,남성,특례수급자,60~64세,35
202008,서울특별시,용산구,남성,특례수급자,65~69세,12
202008,서울특별시,용산구,남성,특례수급자,70~74세,10
